Rank Tertinggi,score,Koleksi,Jumlah Skin,score_kolektor,Winrate keseluruhan,score,total match,score, Harga ,
Legend III,2,Kolektor Ternama  IV ,147,24,54.72,2,6832,4," Rp380,000.00 ",
Mythical Honor (27 Bintang),4,Kolektor Ternama 1 ,267,21,56.85,3,991,1," Rp750,000.00 ",
Mythic (5 Bintang),3,Kolektor Terhormat IV ,311,29,60.3,4,1528,2," Rp1,000,000.00 ",
Epic II,1,Kolektor Juragan V ,511,35,57.55,3,1588,2," Rp1,150,000.00 ",
Epic V,1,Kolektor senior III ,44,0,63.2,4,3070,3," Rp260,000.00 ",
Mythic (19 Bintang),3,Kolektor Senior I ,68,11,56.42,3,2484,2," Rp250,000.00 ",
Mythical Glory (89 Bintang),5,Kolektor Ahli I ,156,16,52.53,2,2589,2," Rp260,000.00 ",
Mythic (2 Bintang),3,Kolektor Ternama 1 ,285,21,49.04,1,10516,5," Rp530,000.00 ",
Mythical Honor (30 Bintang),4,Kolektor Terhormat V ,371,30,54.7,2,3912,3," Rp370,000.00 ",
Mythic (8 Bintang),3,Kolektor Juragan II ,596,32,59.65,3,10700,5," Rp2,100,000.00 ",
Mythic (11 Bintang),3,Kolektor ternama IV ,134,0,60.7,4,628,1," Rp640,000.00 ",
Epic V,1,Kolektor Ternama II ,208,22,52.06,2,10935,5," Rp420,000.00 ",
Mythic (20 Bintang),3,Kolektor Juragan V ,531,35,51.41,2,1250,1," Rp1,320,000.00 ",
Epic V,1,Kolektor Ternama II ,197,22,61.83,4,1719,2," Rp430,000.00 ",
Legend III,2,Kolektor Juragan IV ,596,34,63.64,4,1242,1," Rp1,650,000.00 ",Maret
Epic IV,1,Kolektor Juragan V ,567,35,52.57,2,866,1," Rp2,000,000.00 ",
Epic I,1,Kolektor Terhormat II ,450,27,45,1,4628,3," Rp1,200,000.00 ",
Legend IV,1,Kolektor Juragan V ,506,35,50.94,2,2919,2," Rp1,700,000.00 ",
Legend I,2,Kolektor Juragan V ,569,35,64.5,4,2282,2," Rp1,750,000.00 ",
Epic IV,1,Kolektor Juragan IV ,397,34,49.14,1,2687,2," Rp1,750,000.00 ",
Mythic (12 Bintang),3,Kolektor Senior IV ,54,14,45,1,7018,4," Rp370,000.00 ",
Legend III,2,Kolektor Ternama  IV ,147,24,45,1,3438,3," Rp420,000.00 ",
Legend IV,2,Kolektor Juragan V ,511,35,46.56,1,7144,4," Rp1,550,000.00 ",
Mythic (6 Bintang),3,Kolektor senior III ,44,0,54.33,2,7141,4," Rp370,000.00 ",
Mythical Honor (32 Bintang),4,Kolektor Ahli I ,156,16,48.13,1,889,1," Rp260,000.00 ",
Mythic (23 Bintang),3,Kolektor Ternama 1 ,284,21,59.22,3,6566,4," Rp700,000.00 ",
Mythical Honor (43 Bintang),4,Kolektor Terhormat V ,371,30,67.43,5,1085,1," Rp500,000.00 ",
Legend V,1,Kolektor Juragan II ,596,32,62.91,4,1822,2," Rp2,900,000.00 ",
Mythic (18 Bintang),3,Kolektor Ternama II ,208,22,59.15,3,3134,3," Rp550,000.00 ",
Legend IV,2,Kolektor Juragan V ,531,35,63.89,4,11762,5," Rp2,300,000.00 ",
Epic IV,1,HB,,0,56.86,3,2930,2," Rp430,000.00 ",
Legend I,2,kolektor Ternama IV ,192,0,55.52,3,5623,4," Rp450,000.00 ",
Legend IV,2,Kolektor Juragan IV ,521,34,51.28,2,2439,2," Rp2,000,000.00 ",
Legend I,2,Kolektor Juragan V ,497,35,58.89,3,7670,4," Rp1,600,000.00 ",
Mythical Honor (45 Bintang),4,Kolektor Juragan III ,449,33,61.52,4,7278,4," Rp1,630,000.00 ",
Epic I,1,Kolektor Ternama V ,285,25,48.04,1,11470,5," Rp500,000.00 ",
Legend II,2,Kolektor Juragan IV ,554,34,65.88,5,1603,2," Rp1,250,000.00 ",
Legend V,2,Kolektor Juraga I ,637,0,59.47,3,2607,2," Rp4,000,000.00 ",
Mythic (3 Bintang),3,Kolektor Ternama IV ,185,24,54.23,2,1712,2," Rp550,000.00 ",
Legend III,2,Kolektor Terhormat IV ,329,29,58.69,3,7287,4," Rp700,000.00 ",
Mythical Honor (27 Bintang),4,Kolektor Ternama III ,181,23,54.35,2,3670,3," Rp500,000.00 ",
Epic II,1,Kolektor Terhormat II ,443,27,67.07,5,1839,2," Rp890,000.00 ",
Mythical Glory (50 Bintang),5,Kolektor Ternama II ,218,22,55.06,3,10186,5," Rp550,000.00 ",
Mythic (1 Bintang),3,Kolektor Juragan V ,495,35,49.13,1,4175,3," Rp1,250,000.00 ",
Mythic (15 Bintang),3,Kolektor Terhormat III ,351,28,53.03,2,4270,3," Rp690,000.00 ",
Legend V,2,Kolektor Juragan I ,551,31,46.69,1,3480,3," Rp3,500,000.00 ",
Mythic (17 Bintang),3,Kolektor Terhormat I ,433,26,54.31,2,504,1," Rp850,000.00 ",
Mythic (7 Bintang),3,Kolektor Terhormat I ,396,26,52.96,2,3398,3," Rp1,670,000.00 ",
Mythic (17 Bintang),3,Kolektor Juragan V ,455,35,65.25,5,1347,1," Rp1,500,000.00 ",
Mythical Honor (35 Bintang),4,Kolektor Ternama II ,218,22,51.64,2,2428,2," Rp600,000.00 ",
Epic III,1,Kolektor Juragan V ,406,35,45,1,6665,4," Rp1,500,000.00 ",
Mythical Honor (33 Bintang),4,Kolektor Juragan II ,577,32,51.24,2,525,1," Rp3,500,000.00 ",
Mythic (3 Bintang),3,Kolektor Juragan I ,603,31,47.11,1,2864,2," Rp3,200,000.00 ",
Mythical Glory (60 Bintang),5,Kolektor Terhormat I ,396,26,46.6,1,11737,5," Rp1,800,000.00 ",
Mythic (23 Bintang),3,Kolektor Terhormat III ,391,28,59.19,3,4700,3," Rp700,000.00 ",
Epic IV,1,Kolektor Terhormat IV ,303,29,55.59,3,3826,3," Rp650,000.00 ",
Mythical Honor (25 Bintang),4,Kolektor Ternama I ,231,21,63.27,4,4767,3," Rp600,000.00 ",
Legend II,2,Kolektor Terhormat II ,444,27,48.7,1,7272,4," Rp850,000.00 ",
Epic III,1,Kolektor Juragan IV ,599,34,49.98,1,3004,3," Rp2,150,000.00 ",
Mythic (14 Bintang),3,Kolektor Terhormat I ,415,26,47.7,1,3325,3," Rp1,230,000.00 ",
Mythic (17 Bintang),3,Kolektor Juragan IV ,500,34,52.75,2,2367,2," Rp1,350,000.00 ",
Legend I,2,Kolektor Ternama II ,199,22,53.98,2,624,1," Rp520,000.00 ",
Legend II,2,Kolektor Juragan V ,419,35,52.9,2,3611,3," Rp1,900,000.00 ",
Epic II,1,Kolektor Juragan V ,419,35,51.81,2,1118,1," Rp1,900,000.00 ",
Mythic (8 Bintang),3,Kolektor ternama I ,180,0,53.26,2,3363,3," Rp2,000,000.00 ",
Mythic (11 Bintang),3,Kolektor terhormat II ,336,0,59.08,3,4923,3," Rp1,100,000.00 ",
Epic I,1,Kolektor Juragan III ,508,33,49.72,1,566,1," Rp2,300,000.00 ",
Mythical Honor (42 Bintang),4,HB,,0,56.31,3,10955,5," Rp1,350,000.00 ",
Legend V,1,Kolektor Juragan III ,613,33,48.61,1,3993,3," Rp2,050,000.00 ",
Epic IV,1,Kolektor Juragan V ,473,35,51.98,2,6088,4," Rp1,600,000.00 ",
Mythic (17 Bintang),3,kolektor terhormat II ,381,0,49.73,1,1234,1," Rp830,000.00 ",
Legend I,2,Kolektor Terhormat IV ,294,29,46.79,1,550,1," Rp800,000.00 ",
Legend III,2,Kolektor Terhormat II ,397,27,64.2,4,4840,3," Rp700,000.00 ",
Mythic (7 Bintang),3,Kolektor Terhormat I ,417,26,58.64,3,3912,3," Rp1,250,000.00 ",
Legend III,2,Kolektor Terhormat III ,373,28,45,1,921,1," Rp700,000.00 ",
Legend V,2,Kolektor Juragan IV ,460,34,62.49,4,1956,2," Rp1,900,000.00 ",
Mythic (13 Bintang),3,Kolektor Juragan IV ,581,34,66.33,5,6665,4," Rp1,850,000.00 ",
Mythic (11 Bintang),3,Kolektor Juragan IV ,504,34,52.94,2,11663,5," Rp1,800,000.00 ",
Legend I,2,Kolektor Terhormat I ,414,26,58.59,3,7676,4," Rp1,250,000.00 ",
Mythic (1 Bintang),3,HB,,0,52.57,2,2862,2," Rp380,000.00 ",
Mythic (17 Bintang),3,Kolektor ternama I ,266,0,48.95,1,10738,5," Rp700,000.00 ",
Mythic (16 Bintang),3,HB,,0,49.03,1,1769,2," Rp700,000.00 ",
Epic I,1,,,0,56.28,3,4138,3," Rp600,000.00 ",
Mythical Glory (94 Bintang),5,Kolektor Terhormat III ,359,28,56.57,3,2772,2," Rp750,000.00 ",
Legend V,2,Kolektor Juragan IV ,549,34,45,1,1104,1," Rp2,000,000.00 ",
Mythical Honor (38 Bintang),4,Kolektor Terhormat IV ,324,29,49.66,1,3373,3," Rp700,000.00 ",
Mythic (8 Bintang),3,Kolektor Juragan IV ,492,34,61.9,4,8417,5," Rp1,780,000.00 ",
Legend IV,2,Kolektor Ternama II ,285,22,60.03,4,1427,1," Rp350,000.00 ",
Mythical Glory (64 Bintang),5,Kolektor Terhormat I ,463,26,45,1,882,1," Rp1,250,000.00 ",
Mythic (13 Bintang),3,Kolektor Ternama I ,300,21,54.67,2,2793,2," Rp600,000.00 ",
Mythic (13 Bintang),3,Kolektor Juragan IV ,483,34,54.23,2,10714,5," Rp2,100,000.00 ",
Epic II,1,Kolektor Ternama I ,194,21,49.4,1,1730,2," Rp1,000,000.00 ",
Mythical Honor (33 Bintang),4,Kolektor Ahli I ,156,16,48.96,1,11187,5," Rp370,000.00 ",April
Legend IV,2,Kolektor Juragan III ,449,33,49.69,1,3974,3," Rp2,000,000.00 ",
Mythic (1 Bintang),3,Kolektor Juragan IV ,554,34,60.33,4,5814,4," Rp1,800,000.00 ",
Mythical Glory (99 Bintang),5,Kolektor Juragan V ,495,35,52.92,2,3086,3," Rp1,600,000.00 ",
Mythic (14 Bintang),3,Kolektor Juragan I ,603,31,45,1,11216,5," Rp4,500,000.00 ",
Mythic (1 Bintang),3,Kolektor Juragan IV ,500,34,52.53,2,7131,4," Rp1,800,000.00 ",
Mythical Honor (37 Bintang),4,Kolektor Juragan III ,613,33,53.9,2,3114,3," Rp2,500,000.00 ",
Mythical Honor (25 Bintang),4,Kolektor Terhormat I ,463,26,45,1,598,1," Rp1,480,000.00 ",
Mythic (17 Bintang),3,Kolektor Juragan IV ,517,34,56.45,3,3224,3," Rp2,100,000.00 ",
Epic III,1,Kolektor junior 1 ,59,0,56.69,3,8101,5," Rp100,000.00 ",
Mythic (24 Bintang),3,Kolektor Terhormat I ,491,26,63.41,4,4758,3," Rp1,200,000.00 ",
Mythic (15 Bintang),3,HB,,0,48.55,1,1648,2,,
